date,dominant_scenario_id,dominant_scenario,dominant_probability,contained_shock_probability,contained_shock_raw_score,inflation_shock_probability,inflation_shock_raw_score,stagflation_probability,stagflation_raw_score,growth_slowdown_probability,growth_slowdown_raw_score,energy_input_pressure,inflation_pressure,financial_tightening,growth_drag,policy_offset
2026-03-10,contained_shock,Contained shock,0.40457125632339497,0.40457125632339497,0.18628609722681902,0.19991338875988499,-0.12702219764088812,0.19296939880948782,-0.14273446235606552,0.20254595610723222,-0.12120771409127384,0.1520568096294847,0.13026013485128587,0.1420392270695916,0.21449988806375186,0.10903983266390077
2026-03-11,inflation_shock,Inflation shock,0.3991305968281908,0.11858359651897431,-0.22469411056646663,0.3991305968281908,0.3147150031968081,0.35281080766508005,0.2598897960647551,0.1294749989877549,-0.18564093866540474,0.5875497045902656,0.6286036759579373,0.48611243839782525,0.43587115659376313,-0.3369563574611727
2026-03-12,inflation_shock,Inflation shock,0.45571422908662673,0.03277307236808131,-0.5700395958627136,0.45571422908662673,0.5998531635309445,0.4242649373859842,0.5680719146225951,0.08724776115930781,-0.1348641794798009,0.7390579519224274,0.8063951981343906,0.593775329043361,0.5014822097347518,-0.4840757937167619
2026-03-13,stagflation,Stagflation,0.3765774355485582,0.08123984101610626,-0.34170362380800984,0.3495317331409467,0.3068246311399546,0.3765774355485582,0.33994878439443393,0.1926509902943888,0.04206279027880476,0.5567204029935116,0.5880914148731595,0.5804783713874705,0.5286136420245575,-0.37802756154746003
2026-03-14,stagflation,Stagflation,0.3765774355485582,0.08123984101610626,-0.34170362380800984,0.3495317331409467,0.3068246311399546,0.3765774355485582,0.33994878439443393,0.1926509902943888,0.04206279027880476,0.5567204029935116,0.5880914148731595,0.5804783713874705,0.5286136420245575,-0.37802756154746003
2026-03-15,stagflation,Stagflation,0.3765774355485582,0.08123984101610626,-0.34170362380800984,0.3495317331409467,0.3068246311399546,0.3765774355485582,0.33994878439443393,0.1926509902943888,0.04206279027880476,0.5567204029935116,0.5880914148731595,0.5804783713874705,0.5286136420245575,-0.37802756154746003
2026-03-16,contained_shock,Contained shock,0.3395279416122182,0.3395279416122182,0.12631940254537308,0.19527520685911187,-0.11952342636101991,0.1930237883322771,-0.12467740142797637,0.27217306319639284,0.02804468248382846,0.1530524318186034,0.12035875069151106,0.24912878779525588,0.3127469905821969,0.041871263978684875
2026-03-17,inflation_shock,Inflation shock,0.32850131063453575,0.21991704302784282,-0.05808287672936586,0.32850131063453575,0.12026842530487108,0.2649895721942194,0.024779379673639034,0.18659207414340206,-0.13111647037350935,0.40044891926258896,0.4083081536433762,0.3611058364624253,0.3621457377411396,-0.16020617579593058
2026-03-18,inflation_shock,Inflation shock,0.44521147739346195,0.06262792740933827,-0.41067768338301536,0.44521147739346195,0.4610281370641142,0.3853772535700761,0.3968829524171338,0.10678334162712372,-0.1735262906210395,0.6826370963798004,0.7382161935890932,0.5489455811963161,0.47295316143650545,-0.4267698977106059
2026-03-19,stagflation,Stagflation,0.2799161782999656,0.19320794117082354,-0.07817267706903136,0.25538606897378946,0.045831488217763616,0.2799161782999656,0.08659317663513764,0.27148981155542146,0.07300847309458453,0.3310544758664289,0.3218528466904877,0.45285796712371584,0.46078289992959004,-0.17892788599406206
2026-03-20,inflation_shock,Inflation shock,0.4195824751143981,0.07179922717254637,-0.3665180252378134,0.4195824751143981,0.4180981514609817,0.40053443033392727,0.39744909423107777,0.10808386737912816,-0.18472524159804718,0.6668801992706467,0.7227327527420028,0.5524460707329597,0.47916585220248015,-0.41982708844778216
2026-03-21,inflation_shock,Inflation shock,0.4195824751143981,0.07179922717254637,-0.3665180252378134,0.4195824751143981,0.4180981514609817,0.40053443033392727,0.39744909423107777,0.10808386737912816,-0.18472524159804718,0.6668801992706467,0.7227327527420028,0.5524460707329597,0.47916585220248015,-0.41982708844778216
2026-03-22,inflation_shock,Inflation shock,0.4195824751143981,0.07179922717254637,-0.3665180252378134,0.4195824751143981,0.4180981514609817,0.40053443033392727,0.39744909423107777,0.10808386737912816,-0.18472524159804718,0.6668801992706467,0.7227327527420028,0.5524460707329597,0.47916585220248015,-0.41982708844778216
2026-03-23,contained_shock,Contained shock,0.41615335125498937,0.41615335125498937,0.22651580524483222,0.14540634996347507,-0.24082712303762546,0.1650407870009456,-0.18453361158141415,0.27339951178058997,0.03979594453276806,0.056165111181664035,0.012703976811112155,0.15614458921585278,0.24822612516116974,0.15158495912630274
2026-03-24,stagflation,Stagflation,0.3195229665218378,0.17612715168086945,-0.11680908296350868,0.315512898315022,0.14229908430677285,0.3195229665218378,0.14791223570520104,0.18883698348227088,-0.08584111199047952,0.44650187765786914,0.4636322132713982,0.4450654700580285,0.42850122151669506,-0.23565849522694526
2026-03-25,contained_shock,Contained shock,0.29003135688334325,0.29003135688334325,0.0603130895597905,0.2132185333991326,-0.07642976651405549,0.21511965998967417,-0.072484516182868,0.28163044972785,0.047249403006381155,0.20273474737978267,0.17483596525845324,0.31886974827618203,0.3659508301314385,-0.027843504616077194
